time;Tac;hs;u;Rg;Tsoil;
2019-01-14 22:00;9.25;43.62;0.036;0;12.25;
2019-01-14 23:00;9.99;37.92;0.199;0;12.99;
2019-01-15 00:00;8.78;43.08;0.052;0;11.78;
2019-01-15 01:00;7.36;47.02;0.001;0;10.36;
2019-01-15 02:00;6.276;51.91;0;0;9.276;
2019-01-15 03:00;6.075;50.42;0.145;0;9.075;
2019-01-15 04:00;5.476;54.03;0.001;0;8.476;
2019-01-15 05:00;4.052;60.68;0;0;7.052;
2019-01-15 06:00;3.579;64.62;0;0;6.579;
2019-01-15 07:00;3.116;63.89;0;0;6.116;
2019-01-15 08:00;2.641;66.34;0;0;5.641;
2019-01-15 09:00;2.845;67.63;0;0;5.845;
2019-01-15 10:00;4.067;61.79;0.001;19.94444444;14.067;
2019-01-15 11:00;8.26;45.62;0.043;124.6944444;23.26;
2019-01-15 12:00;10.88;36.57;0.34;277.2222222;30.88;
2019-01-15 13:00;12.34;29.29;0.785;407.2222222;32.34;
2019-01-15 14:00;14.69;25.41;0.217;451.6666667;34.69;
2019-01-15 15:00;14.94;22.83;0.178;437.7777778;34.94;
2019-01-15 16:00;15.07;22.02;0.111;363.0555556;35.07;
2019-01-15 17:00;15.01;27.3;0.257;241.9444444;30.01;
2019-01-15 18:00;13.19;30.15;0.02;90.30555556;19.19;
2019-01-15 19:00;9.56;43.05;0;4.15;14.56;
2019-01-15 20:00;8.91;46.4;0.076;0;12.91;
2019-01-15 21:00;6.203;53.53;0.012;0;9.203;
2019-01-15 22:00;5.394;59.03;0;0;8.394;
2019-01-15 23:00;5.069;60.68;0.001;0;8.069;
2019-01-16 00:00;5.681;55.52;0.011;0;8.681;
2019-01-16 01:00;5.138;56.81;0.002;0;8.138;
2019-01-16 02:00;3.781;57.36;0.007;0;6.781;
2019-01-16 03:00;3.713;59.87;0.001;0;6.713;
2019-01-16 04:00;3.454;62.94;0;0;6.454;
2019-01-16 05:00;3.184;62.4;0.006;0;6.184;
2019-01-16 06:00;2.438;63.89;0.002;0;5.438;
2019-01-16 07:00;2.166;68.31;0;0;5.166;
2019-01-16 08:00;1.894;67.9;0;0;4.894;
2019-01-16 09:00;1.555;68.58;0.001;0;4.555;
2019-01-16 10:00;2.981;67.15;0;17.78888889;12.981;
2019-01-16 11:00;4.529;61.23;0.012;71.13888889;19.529;
2019-01-16 12:00;7.84;56.46;0.011;154.8611111;27.84;
2019-01-16 13:00;9.92;56.64;0.03;176.4444444;29.92;
2019-01-16 14:00;10.65;53.43;0.075;335.5555556;30.65;
2019-01-16 15:00;11.11;54.7;0.101;261.1111111;31.11;
2019-01-16 16:00;11.92;53.27;0.196;274.4444444;31.92;
2019-01-16 17:00;11.38;60.73;0.126;84.36111111;26.38;
2019-01-16 18:00;11.73;67.39;0.023;20.63888889;17.73;
2019-01-16 19:00;10.86;66.93;0.005;1.744444444;15.86;
2019-01-16 20:00;10.58;69.91;0.006;0;14.58;
2019-01-16 21:00;10.04;77.1;0.011;0;13.04;
2019-01-16 22:00;9.37;79;0;0;12.37;
2019-01-16 23:00;9.04;80.3;0;0;12.04;
2019-01-17 00:00;8.97;81.2;0;0.686111111;11.97;
2019-01-17 01:00;8.7;78.9;0.01;0;11.7;
2019-01-17 02:00;8.63;78.5;0.003;0;11.63;
2019-01-17 03:00;8.16;78.7;0;0;11.16;
2019-01-17 04:00;8.09;80.7;0.001;0;11.09;
2019-01-17 05:00;8.02;80.6;0.005;0;11.02;
2019-01-17 06:00;8.09;82.4;0;0;11.09;
2019-01-17 07:00;7.62;83.4;0.012;0;10.62;
2019-01-17 08:00;6.746;82.6;0.019;0;9.746;
2019-01-17 09:00;6.886;82.6;0.002;0;9.886;
2019-01-17 10:00;7.09;80.2;0;18.81388889;17.09;
2019-01-17 11:00;8.51;72.5;0.01;92.33333333;23.51;
2019-01-17 12:00;10.53;61.99;0.018;146.3055556;30.53;
2019-01-17 13:00;12.08;58.11;1.45;223.3333333;32.08;
2019-01-17 14:00;11.79;50.78;1.677;173.9722222;31.79;
2019-01-17 15:00;12.94;37.89;2.342;375.5555556;32.94;
2019-01-17 16:00;12.93;34.97;1.718;198.6111111;32.93;
2019-01-17 17:00;12.06;36.26;2.126;129.1388889;27.06;
2019-01-17 18:00;11.66;40.48;1.332;61.52777778;17.66;
2019-01-17 19:00;10.58;45.3;1.574;6.341666667;15.58;
2019-01-17 20:00;10.12;47.74;2.19;0;14.12;
2019-01-17 21:00;9.64;48.97;1.641;0;12.64;
2019-01-17 22:00;8.5;51.08;1.022;0;11.5;
2019-01-17 23:00;8.09;55.69;0.54;0;11.09;
2019-01-18 00:00;7.9;52.86;0.586;0;10.9;
2019-01-18 01:00;7.63;53.13;1.087;0;10.63;
2019-01-18 02:00;6.209;55.84;0.017;0;9.209;
2019-01-18 03:00;5.067;64.82;0.002;0;8.067;
2019-01-18 04:00;4.459;65.09;0.014;0;7.459;
2019-01-18 05:00;5.003;62.51;0.338;0;8.003;
2019-01-18 06:00;4.867;61.56;0.663;0;7.867;
2019-01-18 07:00;4.867;61.29;1.366;0;7.867;
2019-01-18 08:00;5.07;60.48;0.486;0;8.07;
2019-01-18 09:00;5.342;60.89;0.356;0;8.342;
2019-01-18 10:00;5.884;57.35;0.659;18.88888889;15.884;
2019-01-18 11:00;7.3;57.28;0.502;144.6388889;22.3;
2019-01-18 12:00;9.11;46.94;1.384;287.2222222;29.11;
2019-01-18 13:00;10.52;39.19;1.066;301.3888889;30.52;
2019-01-18 14:00;10.78;35.19;0.189;352.2222222;30.78;
2019-01-18 15:00;10.03;36.47;1.171;232.5;30.03;
2019-01-18 16:00;10.71;33.76;1.214;228.8888889;30.71;
2019-01-18 17:00;10.45;29.9;0.106;132.9166667;25.45;
2019-01-18 18:00;8.89;34.85;0.033;54.36111111;14.89;
2019-01-18 19:00;6.938;45.85;0;4.175;11.938;
2019-01-18 20:00;7.09;46.82;0.001;0;11.09;
2019-01-18 21:00;4.987;52.99;0.003;0;7.987;
2019-01-18 22:00;4.79;57.07;0;0;7.79;
2019-01-18 23:00;4.728;57.96;0;0;7.728;
2019-01-19 00:00;4.662;56.95;0.002;0;7.662;
2019-01-19 01:00;3.373;58.1;0.002;0;6.373;
2019-01-19 02:00;3.034;61.77;0.001;0;6.034;
2019-01-19 03:00;1.951;62.32;0;0;4.951;
2019-01-19 04:00;2.842;56.9;0;0;5.842;
2019-01-19 05:00;2.231;55.34;0;0;5.231;
2019-01-19 06:00;1.08;60.23;0;0;4.08;
2019-01-19 07:00;-0.481;68.04;0;0;2.519;
2019-01-19 08:00;-0.537;69.62;0;0;2.463;
2019-01-19 09:00;-1.555;68.67;0;0;1.445;
2019-01-19 10:00;-0.808;69.28;0;16.57777778;9.192;
2019-01-19 11:00;4.143;49.58;0.004;136.1388889;19.143;
2019-01-19 12:00;7.64;38.01;0.008;286.1111111;27.64;
2019-01-19 13:00;8.97;35.2;0.009;371.3888889;28.97;
2019-01-19 14:00;9.42;34.64;0.034;408.3333333;29.42;
2019-01-19 15:00;11.58;30.44;0.004;362.5;31.58;
2019-01-19 16:00;11.78;28.74;0.113;365.2777778;31.78;
2019-01-19 17:00;9.81;41.14;0.09;184.8055556;24.81;
2019-01-19 18:00;9.36;51.93;0.051;76;15.36;
